3.3.5	ehmatus	3.5.18	ellips	3.8.11	emakala	3.11.4	erakogu	3.13.17	esindus
3.3.6	ehtima	3.5.19	eluaeg	3.8.12	emakaru	3.11.5	erakond	3.13.18	esine
3.3.7	ehtsalt	3.5.20	eluala	3.8.13	emakas	3.11.6	eramets	3.13.19	esinema
3.3.8	ehtsus	3.6.1	eluhoid	3.8.14	emakeel	3.11.7	erand	3.13.20	esiosa
3.14.1	esiotsa	3.16.14	fennek	3.19.7	fotolik	4.1.20	gloobul	4.4.13	haavus
3.14.2	esirind	3.16.15	feodaal	3.19.8	fraas	4.2.1	gloobus	4.4.14	habin
3.14.3	esiroe	3.16.16	feood	3.19.9	fraater	4.2.2	gloss	4.4.15	habras
3.14.4	esisild	3.16.17	fermaat	3.19.10	frakk	4.2.3	gnoomon	4.4.16	hadron
3.14.5	esisilp	3.16.18	ferment	3.19.11	frangi	4.2.4	gootika	4.4.17	hafnium
3.14.6	esitaja	3.16.19	festivo	3.19.12	frank	4.2.5	gospel	4.4.18	hagelus
3.14.7	esitatu	3.16.20	festoon	3.19.13	franko	4.2.6	graaf	4.4.19	hagema
3.14.8	esiteks	3.17.1	fiaal	3.19.14	frees	4.2.7	graafia	4.4.20	hagiese
3.14.9	esitelu	3.17.2	fiakker	3.19.15	freesia	4.2.8	graan	4.5.1	hahkjas
3.14.10	esiti	3.17.3	fibrill	3.19.16	fregatt	4.2.9	graavis	4.5.2	hahkuma
3.14.11	esivedu	3.17.4	fiider	3.19.17	freoon	4.2.10	grafeem	4.5.3	haige
3.14.12	eskiis	3.17.5	fikseer	3.19.18	friik	4.2.11	grafiti	4.5.4	haiglus
3.14.13	eskimo	3.17.6	fiktiiv	3.19.19	friis	4.2.12	grammar	4.5.5	haigur
3.14.14	eskort	3.17.7	filmima	3.19.20	friiser	4.2.13	gratis	4.5.6	haikala
3.14.15	eskuudo	3.17.8	finants	3.20.1	friisi	4.2.14	grave	4.5.7	haisema
3.14.16	esmaabi	3.17.9	finiit	3.20.2	front	4.2.15	greider	4.5.8	haiste
3.14.17	esmas	3.17.10	firma	3.20.3	frukt	4.2.16	greip	4.5.9	haistma
3.14.18	esprii	3.17.11	fiting	3.20.4	fuajee	4.2.17	grill	4.5.10	hajakil
3.14.19	essee	3.17.12	fjeld	3.20.5	fugaato	4.2.18	grimm	4.5.11	hajuma
